10/2/2016,Reference: 320162770653148776,auto-parts,-8.89,ADVANCE AUTO PARTS  ARLINGTON           VA,0000947    902904595001     22207
10/2/2016,Reference: 320162770651037312,insurance-apple phones,-13.98,INSURE APPLE IPHONE LAKE MARY           FL,99999996277 8778144469
10/2/2016,Reference: 320162770654297797,business-lunch,-33.95,NORTHSIDE SOCIAL    ARLINGTON           VA,568436      RESTAURANT
10/2/2016,Reference: 320162770649731093,business-lunch,-9.63,STARBUCKS STORE 0746ARLINGTON           VA,00L6FG5095C FAST FOOD RESTAURANT
10/3/2016,Reference: 320162770647074736,auto-parking,-4.85,CAMELOT FACILITY SOLFalls Church        VA,UGDFIB      squareup.com/receipts
10/3/2016,Reference: 320162780668285610,internet,-125.3,COMCAST OF ALEXANDRI800-COMCAST         VA,97859796STU CABLE SVCS
10/3/2016,Reference: 320162780665330764,business-lunch,-6.28,FEDERAL RESERVE BANKWASHINGTON          DC,27958587    CATERER
10/3/2016,Reference: 320162770646430566,membership-internet,-5.29,NETFLIX.COM         866-579-7172        CA,12355529536 DVD RENTALS
10/3/2016,Reference: 320162770657419556,medical,-139.99,SPORT&HEALTH CLUB25 ARLINGTON           VA,0150236     703-637-0563
10/3/2016,Reference: 320162780672292426,business-lunch,-6.36,SWEETBITES          MCLEAN              VA,85101656278             USFC22101
10/3/2016,Reference: 320162780672303321,business-lunch,-3.1,USCONNECT BLACK TIE HALETHORPE          MD,10156420161 3363930031
10/3/2016,Reference: 320162780667210543,business-lunch,-12.08,WOK N ROLL CAFE 0024MCLEAN              VA,00009914    703-556-8811
10/4/2016,Reference: 320162790681133120,business-lunch,-2.15,FEDERAL RESERVE BANKWASHINGTON          DC,27989695    CATERER
10/4/2016,Reference: 320162790681365979,business-lunch,-4.65,FEDERAL RESERVE BANKWASHINGTON          DC,27988552    CATERER
10/4/2016,Reference: 320162790678211382,business-lunch,-6.51,JUAN VALDEZ 0086    WASHINGTON          DC,38850006    212-271-8763
10/4/2016,Reference: 320162790679001848,transportation-METRO,-20,METRO FARE AUTOLOAD WASHINGTON          DC,00000031C04 2029625711
10/4/2016,Reference: 320162790673916510,business-lunch,-6.1,SWEETBITES          MCLEAN              VA,85101656279             USFC22101
10/4/2016,Reference: 320162790683463545,business-lunch,-7.9,WOK N ROLL CAFE 0024MCLEAN              VA,00020737    703-556-8811
